Lab_ID,Animal ID,Initial Cage,Cage Breeding,Histo_ID,Intervention_Group,Mark,Diet,Group,DOB,Start_Diet,Start Breeding,Comments,date_EchoIRM,body_weight,fat_mass,lean_mass,free_water,nonfasting_glycemia,fasting_glycemia,MatureCorpusLutea_Ovary_1,MatureCorpusLutea_Ovary_2,MatureCL,MatureGraafianFoll_Ovary_1,MatureGraafianFoll_Ovary_2,MatureFoll,EndometrialThickness,Surface_CL,"sacrifice_
date",body_weight_sacrifice,liver_weight
1,TOS-010292,ETOS-001015,ETOS-001094,22TOS39,1,Right Post,HFD,FGF21,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,24.13,19.65,0,7.2,8.5,0,0,0,0,0,0,426,0,29.09.21,45.6,2.32
2,TOS-010293,ETOS-001015,ETOS-001096,22TOS40,3,Right Middle,HFD,FGF21,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,14.13,21.7,0.14,7.2,6.3,4,2,3,1,0,1,NA,932'353,20.09.21,34.4,1.75
3,TOS-010294,ETOS-001015,ETOS-001095,22TOS41,2,Right Ant,HFD,FGF21,20.01.2021,24.02.2021,21.06.2021,No minipump,08.09.2021,NA,20.9,19.44,0.97,7.2,8.4,4,3,3.5,0,0,0,306,849'438,29.09.21,44.7,2.1
4,TOS-010295,ETOS-001015,ETOS-001094,22TOS42,1,Left Post,HFD,FGF21,20.01.2021,24.02.2021,21.06.2021,Dermatitis,08.09.2021,NA,13.79,20.19,0,9.9,6.4,0,0,0,0,0,0,233,0,16.09.21,31.1,1.41
5,TOS-010296,ETOS-001015,ETOS-001095,22TOS43,2,Left Middle,HFD,FGF21,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,11.26,31.21,1.33,6.9,6.9,NA,NA,NA,NA,NA,NA,225,NA,17.09.21,32.9,1.64
6,TOS-010297,ETOS-001015,ETOS-001096,22TOS44,3,Left Ant,HFD,FGF21,20.01.2021,24.02.2021,21.06.2021,Mild dermatitis,08.09.2021,NA,9.44,19.74,0.06,7.4,8.7,1,1,1,0,0,0,192,179'608,16.09.21,29.2,1.38
8,TOS-010299,ETOS-001016,ETOS-001093,22TOS45,5.1,Right Middle,HFD,HFD,20.01.2021,24.02.2021,21.06.2021,,19.10.2021,35.2,11.59,21.22,0,7.3,7,2,1,1.5,0,0,0,270,437'952,22.10.21,35.2,2.1
9,TOS-010300,ETOS-001016,ETOS-001098,22TOS46,5,Right Ant,HFD,HFD,20.01.2021,24.02.2021,21.06.2021,,19.10.2021,36.2,12.59,21.86,0.22,9.5,6.5,4,0,2,2,1,2,308,728'435,20.10.21,36.4,2.1
10,TOS-010301,ETOS-001016,ETOS-001097,22TOS47,4,Left Post,HFD,FGF21,20.01.2021,24.02.2021,21.06.2021,Abdominal tumor,08.09.2021,NA,1.69,29.01,1.03,8.2,5.7,1,0,0.5,0,0,0,NA,269'991,16.09.21,30.3,1.99
11,TOS-010302,ETOS-001016,ETOS-001097,22TOS48,4,Left Middle,HFD,FGF21,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,21.28,21,0,8.2,7.6,1,3,2,0,0,0,522,706'878,17.09.21,42.3,1.68
